Order Date,Product,Category,Region,Sales,Quantity
2023-03-26,Laptop,Accessories,West,18101,2
2023-03-27,Laptop,Accessories,West,33307,3
2023-03-28,Laptop,Accessories,West,6486,7
2023-03-29,Laptop,Electronics,North,9335,6
2023-03-30,Headphones,Accessories,South,22364,2
2023-03-31,Tablet,Accessories,West,38259,6
2023-04-01,Tablet,Electronics,South,24576,2
2023-04-02,Laptop,Electronics,South,32667,2
2023-04-03,Tablet,Electronics,East,12130,2
2023-04-04,Tablet,Electronics,North,22972,3
2023-04-05,Laptop,Accessories,West,41419,2
2023-04-06,Tablet,Accessories,East,2167,4
2023-04-07,Monitor,Accessories,East,28192,9
2023-04-08,Phone,Accessories,West,2062,6
2023-04-09,Phone,Accessories,South,19540,1
2023-04-10,Laptop,Accessories,East,25244,8
2023-04-11,Headphones,Electronics,South,22545,7
2023-04-12,Laptop,Accessories,North,22689,3
2023-04-13,Headphones,Electronics,South,12174,1
2023-04-14,Phone,Electronics,North,23925,5
2023-04-15,Laptop,Accessories,South,38497,4
2023-04-16,Monitor,Electronics,East,10348,8
2023-04-17,Tablet,Accessories,East,24714,1
2023-04-18,Headphones,Electronics,North,39102,1
2023-04-19,Tablet,Accessories,West,9924,4
2023-04-20,Tablet,Electronics,North,38098,8
2023-04-21,Laptop,Accessories,North,25394,5
2023-04-22,Tablet,Accessories,South,7801,2
2023-04-23,Monitor,Accessories,South,38614,6
2023-04-24,Tablet,Accessories,North,7731,5
2023-04-25,Laptop,Accessories,East,49136,2
2023-04-26,Monitor,Electronics,South,24625,3
2023-04-27,Phone,Electronics,West,18337,9
2023-04-28,Tablet,Electronics,South,36307,7
2023-04-29,Laptop,Accessories,South,8056,7
2023-04-30,Phone,Electronics,West,12516,6
2023-05-01,Phone,Accessories,North,45261,8
2023-05-02,Headphones,Accessories,West,2542,4
2023-05-03,Monitor,Electronics,North,22677,8
2023-05-04,Tablet,Electronics,North,47732,4
2023-05-05,Laptop,Accessories,North,40081,8
2023-05-06,Headphones,Electronics,West,28569,9
2023-05-07,Monitor,Accessories,North,24322,3
2023-05-08,Headphones,Accessories,East,20065,3
2023-05-09,Monitor,Accessories,West,18924,2
2023-05-10,Monitor,Accessories,East,23556,3
2023-05-11,Tablet,Accessories,North,27962,3
2023-05-12,Monitor,Electronics,South,29295,5
2023-05-13,Headphones,Electronics,North,14807,5
2023-05-14,Monitor,Accessories,East,43348,2
2023-05-15,Tablet,Accessories,East,27432,6
2023-05-16,Tablet,Electronics,West,18749,5
2023-05-17,Headphones,Electronics,South,42459,6
2023-05-18,Phone,Accessories,West,27256,1
2023-05-19,Phone,Electronics,East,41262,5
2023-05-20,Monitor,Accessories,North,38080,9
2023-05-21,Laptop,Electronics,South,2324,2
2023-05-22,Monitor,Accessories,North,26731,1
2023-05-23,Headphones,Electronics,North,36909,9
2023-05-24,Headphones,Accessories,South,24803,9
2023-05-25,Headphones,Electronics,West,20870,9
2023-05-26,Headphones,Electronics,North,35578,6
2023-05-27,Headphones,Accessories,East,7588,8
2023-05-28,Tablet,Electronics,North,39069,1
2023-05-29,Phone,Accessories,South,27790,4
2023-05-30,Headphones,Electronics,South,26289,1
2023-05-31,Laptop,Accessories,South,29178,8
2023-06-01,Laptop,Electronics,West,29710,1
2023-06-02,Laptop,Accessories,North,16485,3
2023-06-03,Laptop,Electronics,West,45482,4
2023-06-04,Tablet,Accessories,West,21652,8
2023-06-05,Laptop,Electronics,South,5748,6
2023-06-06,Headphones,Accessories,South,22233,7
2023-06-07,Monitor,Accessories,West,10435,8
2023-06-08,Laptop,Accessories,North,4709,2
2023-06-09,Tablet,Electronics,East,31355,8
2023-06-10,Tablet,Accessories,West,14116,3
2023-06-11,Laptop,Electronics,North,26470,7
2023-06-12,Monitor,Accessories,South,43344,3
2023-06-13,Laptop,Electronics,South,43918,7
2023-06-14,Tablet,Accessories,North,40298,2
2023-06-15,Phone,Electronics,East,43956,6
2023-06-16,Headphones,Electronics,South,15683,3
2023-06-17,Tablet,Accessories,South,1504,3
2023-06-18,Laptop,Electronics,South,34982,9
2023-06-19,Headphones,Electronics,North,35299,7
2023-06-20,Laptop,Accessories,West,29016,5
2023-06-21,Laptop,Electronics,South,24960,7
2023-06-22,Phone,Electronics,West,34591,9
2023-06-23,Headphones,Electronics,East,18312,1
2023-06-24,Headphones,Accessories,South,38797,7
2023-06-25,Phone,Electronics,South,47196,6
2023-06-26,Tablet,Accessories,East,3105,9
2023-06-27,Laptop,Electronics,South,37395,1
2023-06-28,Monitor,Electronics,West,46740,4
2023-06-29,Laptop,Electronics,North,23700,9
2023-06-30,Laptop,Accessories,West,35620,4
2023-07-01,Tablet,Electronics,North,38678,3
2023-07-02,Laptop,Electronics,North,21559,9
2023-07-03,Phone,Accessories,West,28509,2
2023-07-04,Phone,Electronics,West,28860,4
2023-07-05,Headphones,Accessories,West,12003,6
2023-07-06,Monitor,Accessories,West,22732,2
2023-07-07,Laptop,Electronics,East,26826,8
2023-07-08,Laptop,Accessories,South,31354,8
2023-07-09,Tablet,Electronics,North,14843,1
2023-07-10,Phone,Accessories,West,45472,3
2023-07-11,Monitor,Accessories,West,49529,9
2023-07-12,Headphones,Electronics,West,7190,5
2023-07-13,Phone,Accessories,East,18640,6
2023-07-14,Headphones,Accessories,West,39413,4
2023-07-15,Tablet,Accessories,West,43356,2
2023-07-16,Tablet,Accessories,West,45597,8
2023-07-17,Laptop,Accessories,South,41821,6
2023-07-18,Monitor,Electronics,East,4330,5
2023-07-19,Headphones,Accessories,West,20087,9
